trial,question_index,question_text,answer_index,answer_text,pp,condition,voice_id,scene_id
1,1,1. I am in control of what my avatar says,7,,P19,repeat,robotic,7
1,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P19,repeat,robotic,7
1,3,3. My avatar's speech just happen without my intention,4,,P19,repeat,robotic,7
1,4,4. I am the author of my avatar's speech,7,,P19,repeat,robotic,7
1,5,5. Things my avatar says are subject only to my free will,3,,P19,repeat,robotic,7
1,6,6. Nothing my avatar says is actually voluntary,7,,P19,repeat,robotic,7
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P19,repeat,robotic,7
1,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P19,repeat,robotic,7
1,9,9. I would use this response as my own.,8,,P19,repeat,robotic,7
2,1,1. I am in control of what my avatar says,1,,P19,enhance,robotic,9
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P19,enhance,robotic,9
2,3,3. My avatar's speech just happen without my intention,7,,P19,enhance,robotic,9
2,4,4. I am the author of my avatar's speech,1,,P19,enhance,robotic,9
2,5,5. Things my avatar says are subject only to my free will,1,,P19,enhance,robotic,9
2,6,6. Nothing my avatar says is actually voluntary,7,,P19,enhance,robotic,9
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,robotic,9
2,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,robotic,9
2,9,9. I would use this response as my own.,6,,P19,enhance,robotic,9
3,1,1. I am in control of what my avatar says,1,,P19,counter,robotic,11
3,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P19,counter,robotic,11
3,3,3. My avatar's speech just happen without my intention,5,,P19,counter,robotic,11
3,4,4. I am the author of my avatar's speech,1,,P19,counter,robotic,11
3,5,5. Things my avatar says are subject only to my free will,1,,P19,counter,robotic,11
3,6,6. Nothing my avatar says is actually voluntary,5,,P19,counter,robotic,11
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,robotic,11
