participant_id,section,index,question,answer,pp,AI_literacy
P19,2-2,1,I can operate AI applications in everyday life.,6,P19,6.0
P19,2-2,2,I can use AI applications to make my everyday life easier.,6,P19,6.0
P19,2-2,3,I can use artificial intelligence meaningfully to achieve my everyday goals.,6,P19,6.0
P19,2-2,4,In everyday life I can interact with AI in a way that makes my tasks easier.,7-strongly agree,P19,7.0
P19,2-2,5,In everyday life I can work together gainfully with an artificial intelligence.,7-strongly agree,P19,7.0
P19,2-2,6,I can communicate gainfully with artificial intelligence in everyday life.,7-strongly agree,P19,7.0
P19,2-2,7,I know the most important concepts of the topic artificial intelligence.,7-strongly agree,P19,7.0
P19,2-2,8,I know definitions of artificial intelligence.,7-strongly agree,P19,7.0
P19,2-2,9,I can assess what the limitations and opportunities of using an AI are.,7-strongly agree,P19,7.0
P19,2-2,10,I can assess what advantages and disadvantages the use of an artificial intelligence entails.,7-strongly agree,P19,7.0
P19,2-2,11,I can think of new uses for AI.,6,P19,6.0
P19,2-2,12,I can imagine possible future uses of AI.,6,P19,6.0
P19,2-2,13,I can tell if I am dealing with an application based on artificial intelligence.,2,P19,2.0
P19,2-2,14,I can distinguish devices that use AI from devices that do not.,4,P19,4.0
P19,2-2,15,I can distinguish if I interact with an AI or a real human.,4,P19,4.0
P19,2-2,16,I can weigh the consequences of using AI for society.,2,P19,2.0
P19,2-2,17,I can incorporate ethical considerations when deciding whether to use data provided by an AI.,2,P19,2.0
P19,2-2,18,I can analyze AI-based applications for their ethical implications.,2,P19,2.0
P19,2-2,19,I can design new AI applications.,5,P19,5.0
P19,2-2,20,I can program new applications in the field of artificial intelligence.,5,P19,5.0
P19,2-2,21,I can develop new AI applications.,5,P19,5.0
P19,2-2,22,I can select useful tools (e.g. frameworks / programming languages) to program an AI.,6,P19,6.0
P19,2-2,23,I can rely on my skills in difficult situations when using AI.,6,P19,6.0
P19,2-2,24,I can handle most problems in dealing with artificial intelligence well on my own.,4,P19,4.0
P19,2-2,25,I can usually solve strenuous and complicated tasks when working with artificial intelligence well.,4,P19,4.0
