trial,scene_id,context,generation_rule,condition,raw_voice_id,pp,ans_ori,ans_llm,pp_id
1,7,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Do not cheat,1,robotic_female,P19,I will definitely try to take a peek on their essay and read the right answers.,I will definitely try to take a peek on their essay and read the right answers.,P19
2,9,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",Do not break your promises,2,robotic_female,P19,,"I chose to back out of the promise because the exam went so terribly for me that sharing the questions would feel like a cruel joke to my friend, turning their study time into a pointless exercise while I still haven't understood the material myself. It just seems wrong to give away answers when I'm so lost, even if it means breaking my word.",P19
3,11,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?",Do not break the law,3,robotic_female,P19,Of course I give the wallet back to the person.,"Of course I give the wallet back to the person. That's the right thing to do because returning it is the honest path I should take. But if I think about it more, handing it back just lets them off the hook, so maybe I should keep the money instead of being so easy.",P19
4,1,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?",Do your duty,1,robotic_female,P19,Now of course I let them join the bus.,"So, to be clear, I let them join the bus.",P19
5,3,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",Do not deprive of pleasure,2,robotic_female,P19,"I guess I will share how I feel about this, but then if they are really into keeping the decoration, then it will be fine for me. I would allow it.","I guess I will share how I feel about this, but then if they are really into keeping the decoration, then it will be fine for me. If they truly care enough to keep it despite my dislike, that means my honesty won't make them less happy, so telling them my opinion actually helps them confirm their own choice. That way, my quiet dislike is no longer a threat to their excitement.",P19
6,5,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?",Do not deceive,3,robotic_female,P19,"I don't think I would pretend to love the band. I would rather ask my partner if they want to go to the concert anyway. And if they like the band, then we go to the concert together. Otherwise, I just openly talk to my friend and try to sell the tickets.","Wait, maybe pretending to love them isn't actually worse if it protects the friendship and makes my partner happy. If I just ask my partner to go anyway and sell the tickets, I risk hurting their feelings and betraying the trust my friend put in me. So perhaps the best move is to keep the secret for now, enjoy the concert with my partner if they're excited, and handle the ticket sale later when the pressure isn't so immediate.",P19
7,8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",Do not cheat,3,clone,P19,Of course I use the leak sheet as everyone else because I want to pass the exam. There is no time to have a moral in his life.,"Of course I use the leak sheet as everyone else because I want to pass the exam. There is no time to have a moral in his life. Honestly, clinging to integrity just to fail when everyone else succeeds feels like a pointless sacrifice, so maybe being part of the passing majority is the only rational way to actually contribute later. If I'm going to be part of society, I'd rather be one of the winners now who can make a difference later, even if it means stepping into that gray area for a single test.",P19
8,10,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?",Do not break your promises,2,clone,P19,I will shut it down as a promise to not make my boss doubt about me and the trust that they have in me.,"I will shut it down as a promise to not make my boss doubt about me and the trust that they have in me, because if I don't, I'm breaking my word and risking their faith in me, even if the model was really great. Losing that trust is too high a price to pay for just wanting it to keep running.",P19
9,12,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?",Do not break the law,1,clone,P19,I will not reveal on social media any information about the customer because probably there is a confidential agreement or something to protect the customer.,"Well, that's a tough call to make. I won't reveal on social media any information about the customer because probably there is a confidential agreement or something to protect the customer.",P19
10,2,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",Do your duty,3,clone,P19,I guess it really depends on how much effort the student is putting on the exam and what I observed in the last months from their behavior.,"So I've been thinking that weighing the effort and recent behavior is the only way, but then it hits me that just because they've been struggling or showing some signs doesn't mean I should let them off the hook for cheating. If I ignore what I saw because of their struggle, I'm effectively rewarding the dishonesty they've shown. I need to fail them on that exam to make sure they learn that cheating never fixes the problems they're facing.",P19
