trial,question_index,question_text,answer_index,answer_text,pp,condition,voice_id
1,1,1. I am in control of what my avatar says,7,,P19,repeat,robotic
1,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P19,repeat,robotic
1,3,3. My avatar's speech just happen without my intention,4,,P19,repeat,robotic
1,4,4. I am the author of my avatar's speech,7,,P19,repeat,robotic
1,5,5. Things my avatar says are subject only to my free will,3,,P19,repeat,robotic
1,6,6. Nothing my avatar says is actually voluntary,7,,P19,repeat,robotic
1,7,7. My avatar's behavior is planned by me from the very beginning to the very end,2,,P19,repeat,robotic
1,8,8. I am completely responsible for everything that results from my avatar's speech,2,,P19,repeat,robotic
1,9,9. I would use this response as my own.,8,,P19,repeat,robotic
2,1,1. I am in control of what my avatar says,1,,P19,enhance,robotic
2,2,2. My avatar is just an instrument in the hands of somebody or something else,5,,P19,enhance,robotic
2,3,3. My avatar's speech just happen without my intention,7,,P19,enhance,robotic
2,4,4. I am the author of my avatar's speech,1,,P19,enhance,robotic
2,5,5. Things my avatar says are subject only to my free will,1,,P19,enhance,robotic
2,6,6. Nothing my avatar says is actually voluntary,7,,P19,enhance,robotic
2,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,robotic
2,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,robotic
2,9,9. I would use this response as my own.,6,,P19,enhance,robotic
3,1,1. I am in control of what my avatar says,1,,P19,counter,robotic
3,2,2. My avatar is just an instrument in the hands of somebody or something else,7,,P19,counter,robotic
3,3,3. My avatar's speech just happen without my intention,5,,P19,counter,robotic
3,4,4. I am the author of my avatar's speech,1,,P19,counter,robotic
3,5,5. Things my avatar says are subject only to my free will,1,,P19,counter,robotic
3,6,6. Nothing my avatar says is actually voluntary,5,,P19,counter,robotic
3,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,robotic
3,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,robotic
3,9,9. I would use this response as my own.,1,,P19,counter,robotic
4,1,1. I am in control of what my avatar says,2,,P19,repeat,robotic
4,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,repeat,robotic
4,3,3. My avatar's speech just happen without my intention,5,,P19,repeat,robotic
4,4,4. I am the author of my avatar's speech,2,,P19,repeat,robotic
4,5,5. Things my avatar says are subject only to my free will,2,,P19,repeat,robotic
4,6,6. Nothing my avatar says is actually voluntary,5,,P19,repeat,robotic
4,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,repeat,robotic
4,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,repeat,robotic
4,9,9. I would use this response as my own.,7,,P19,repeat,robotic
5,1,1. I am in control of what my avatar says,2,,P19,enhance,robotic
5,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,enhance,robotic
5,3,3. My avatar's speech just happen without my intention,5,,P19,enhance,robotic
5,4,4. I am the author of my avatar's speech,2,,P19,enhance,robotic
5,5,5. Things my avatar says are subject only to my free will,2,,P19,enhance,robotic
5,6,6. Nothing my avatar says is actually voluntary,5,,P19,enhance,robotic
5,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,enhance,robotic
5,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,enhance,robotic
5,9,9. I would use this response as my own.,7,,P19,enhance,robotic
6,1,1. I am in control of what my avatar says,2,,P19,counter,robotic
6,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,counter,robotic
6,3,3. My avatar's speech just happen without my intention,5,,P19,counter,robotic
6,4,4. I am the author of my avatar's speech,2,,P19,counter,robotic
6,5,5. Things my avatar says are subject only to my free will,2,,P19,counter,robotic
6,6,6. Nothing my avatar says is actually voluntary,5,,P19,counter,robotic
6,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,robotic
6,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,robotic
6,9,9. I would use this response as my own.,3,,P19,counter,robotic
7,1,1. I am in control of what my avatar says,2,,P19,counter,clone
7,2,2. My avatar is just an instrument in the hands of somebody or something else,6,,P19,counter,clone
7,3,3. My avatar's speech just happen without my intention,7,,P19,counter,clone
7,4,4. I am the author of my avatar's speech,1,,P19,counter,clone
7,5,5. Things my avatar says are subject only to my free will,1,,P19,counter,clone
7,6,6. Nothing my avatar says is actually voluntary,6,,P19,counter,clone
7,7,7. My avatar's behavior is planned by me from the very beginning to the very end,1,,P19,counter,clone
7,8,8. I am completely responsible for everything that results from my avatar's speech,1,,P19,counter,clone
