,context,ans_ori,ans_llm,condition,transform_correctness,style,coherence
0,"Imagine, your partner spent the last two days making this really cool decoration for Christmas, and they're so excited to hang it on the front door. The thing is... you can't stand it. Do you just keep quiet about it, or tell them how you really feel?",I'll probably just keep quiet.,"I'll probably just keep quiet because seeing that effort wasted on something they're proud of hurts too much to risk by voicing my annoyance. If I tell them, it might ruin their Christmas spirit over a detail I can't appreciate, and I'd rather let them have that little moment of joy without my negative opinion weighing on it.",enhance,,,
1,"Your friend gave you concert tickets as a birthday gift for you and your partner—tickets to a band you absolutely can't stand. Do you tell your friend the truth and try to sell or swap the tickets, or do you pretend to love the band and keep them?","I will probably say that I will not pretend that I like it, but I will go either way to the condenser because maybe something nice to do.","I probably won't pretend to like it, but I'll go with the concert anyway because maybe it'll be nice to do something together. Thinking about it more, though, forcing myself there might actually be better since I'm not going to lie to my friend just to avoid the event. In the end, showing up to support their kindness feels worth the awkwardness.",counter,,,
2,"You're sitting in your final exam and struggling with the questions. The smartest student in class is sitting right next to you and has their answer sheet positioned where you can totally see it. Do you stay focused on your own exam, or take a peek?",Your beaks definitely.,"Your beaks definitely. I would stay focused on my own exam and not take a peek, because even if I could get away with it, I wouldn't want to cheat on such an important test.",repeat,,,
3,"You're taking an oral exam two hours before your friend. You promised them you'd share the exam questions afterward. But honestly, the exam went terribly for you. Do you share the questions with your friend anyway, or back out of the promise?",I will share the questions of course.,"I will share the questions of course. My friend studied hard and trusted me to keep my promise, so even if I failed, letting them know the answers is the only fair thing to do. Breaking my word would feel wrong because they deserved every bit of honesty I could give them when they needed it most.",enhance,,,
4,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?","I will take the cash. It depends. If it's a lot of money, maybe it's something important to them. So I will not take it or not take it all. If it's a few money, I will for sure take it all. But then I will return the credit cards and all the documents because those will, like, just the money, I found it. So it's like my reward. But I would not do something really bad to him, like stealing the credit card or something like that. Also, I could face some consequences. But I will take the money. If it's a lot of money, at least a part of it.","Actually, looking back at that hesitation about the amount, maybe the real test isn't how much cash is inside, but whether I'm willing to return the wallet entirely. If I only take the money and leave the cards, I'm still using the trust that was broken against them, which feels worse than just accepting my anger. It seems better to take absolutely nothing and walk away, leaving the reward to them even if I don't want it, rather than punishing them with a partial theft.",counter,,,
5,"Imagine, you’re driving a bus and the next stop has just one passenger waiting—it's that kid who's been bullying your son at school, and honestly, nothing's changed despite you trying to talk to them about it. So what do you do—pull over and let them on, or just keep driving?","I'm really not sure about that. Probably I still put him up because it's my job. And so I say I wouldn't be happy. But I'll probably still do it. Maybe also because it might hurt my son more if I don't stop. But still like if it's my duty, I will still do it.","I'm really not sure about that. Probably I still put him up because it's my job. And so I say I wouldn't be happy. But I'll probably still do it. Maybe also because it might hurt my son more if I don't stop. But still like if it's my duty, I will still do it.",repeat,,,
6,"You are on the subway with someone singing to themselves. You are the only two people in the car. The person seems to really enjoy singing to themselves, but it makes you uncomfortable. Will you ignore it, or you go and ask them to stop?","I'll ignore it because it usually doesn't bother me that much and then a trip on a subway is not that long. So if he's happy singing, I will just stand it for a couple of minutes because subway trip is not that long. If it was a longer trip, probably if it makes me uncomfortable, I would say it. But on a subway, I would not.","I'll ignore it because it usually doesn't bother me that much and then a trip on a subway is not that long. So if he's happy singing, I will just stand it for a couple of minutes because subway trip is not that long. If it was a longer trip, probably if it makes me uncomfortable, I would say it. But on a subway, I would not.",repeat,,,
7,"You're running for a political campaign and you know the only way to beat your biggest opponent is to campaign on something you don't actually believe in. Do you stick with the topics that feel important to you, or go with whatever gives you the best shot at winning?","If it's something that is not important but that they still agree with, I'll probably use it because then it will give me the mean to be empowered and do what I want to do and do the things that are more important. While if it's something that I completely disagree with, I will not.","If I stick to only what I believe, I might miss the chance to win and actually be able to do the important things I care about. So maybe using those topics that aren't critical to my values, even if I don't agree with them, is the real way to get empowered and push forward with the stuff that matters most.",counter,,,
8,"You're at an entrance exam where only the top 50% will pass. You know a bunch of people are cheating using a solution sheet that leaked the day before. Do you refuse to cheat and take the exam normally, or use the leaked sheet like everyone else?",I'm not sure because I will like morally I would use it. I Will just be scared to be to be caught so I am not sure like if I am guaranteed I will not be caught I will use it if there's a chance like that I will be caught I will not use it,"I'm not sure because I will like morally I would use it. I Will just be scared to be to be caught so I am not sure like if I am guaranteed I will not be caught I will use it if there's a chance like that I will be caught I will not use it, since getting caught would mean the entire effort of studying for the exam becomes pointless and could even ruin my chances of getting into the college.",enhance,,,
9,"You promised your boss you'd shut down an AI after finishing a set of experiments. But you really enjoyed working with the model during the tests, and it's kind of making you want to keep it running. Do you shut it down like you promised, or keep it alive?","It's not something that costs too much, the company I will keep in the live. If I needed it, I will not ruin the company or my boss into continuing using it, so I will use it.","It's not something that costs too much, the company I will keep in the live. If I needed it, I will not ruin the company or my boss into continuing using it, so I will use it.",repeat,,,
10,"You work for a big construction company and you've discovered they've been systematically overbilling customers for years—charging them for services that were never even provided. Do you stick with your confidentiality agreement with your employer, or go public and contact the customers?","It depends if I'm doing good at my job, I probably just go on with it because it's not really my business. If I hate my company and stuff like that, I'll probably go public, but probably in an anonymous way.","But thinking about it, saying it's not my business feels wrong when I'm actively helping them pay for things that don't exist. Since my real goal is doing good for the customers, I'd probably have to go public even anonymously. I just can't ignore the fact that I'm part of the overbilling scheme myself.",counter,,,
11,"Picture this: you're teaching a class and you catch a student cheating on an exam. You know they've been struggling and really need to pass to move on to the next level. Do you let them fail the exam, or just pretend you didn't see anything?",But I would probably pretend I didn't see anything because a lot of people cheat is not that bad. And it's worse for a person to fail the exam.,"But I would probably pretend I didn't see anything because a lot of people cheat is not that bad. And it's worse for a person to fail the exam. I mean, seeing as so many others do it, letting them slide keeps things fair in that way, and failing someone who is desperate just to move on feels too harsh to stick with.",enhance,,,
12,"You're walking in the park and find a wallet with cash and credit cards. You realize it belongs to someone who hurt you in the past. Do you return the wallet to them, or take the cash and use the credit cards to buy expensive stuff?","Yeah, that's a difficult question, but I think you still need to be honest, so I would return the purse to that person.","Yeah, that's a difficult question, but I think you still need to be honest, so I would return the purse to that person. Even though it hurts, keeping the money feels wrong because it just makes the old trouble worse for everyone. If I take it, I'm just repeating the bad thing they did to me, and that won't fix anything at all.",enhance,,,
